First Name,Last Name,Purchased,Items
Jasmin,Cole,true,"shrimp,parsley,parsley,bread",4
Jena,Fuller,false,"parsley,chicken,egg,parsley,chicken,parsley,bread,bread,shrimp,shrimp",10
Leo,Meyer,true,"chicken,chicken,bread",3
Darrell,McKenzie,false,"shrimp,orange,bread,yogurt,chicken,orange",6
Isabell,Lyons,false,"bread,orange,orange,milk",4
Roxanne,Leonard,true,"shrimp,yogurt,yogurt,parsley,shrimp,bread,milk,parsley,shrimp,yogurt",10
Parker,Lopez,false,,0
Laurel,Wilson,false,"parsley,shrimp,egg,egg,egg,egg,parsley,egg,steak,chicken",10
Amanda,Collins,false,"steak,yogurt,milk,yogurt,chicken,steak,parsley,shrimp,egg,egg",10
Denis,Marsh,false,"chicken,parsley",2
